objectid,labid,sampleid,sampletype,sizefraction,particleid,morphology,color,photoid,chemicalid,polymerid,plastic,comments,length,width,timeimagesmeasurements,instrumenttype,microscopy,nilered,chemicalid_method
25805,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_68,Fiber,Black,A_CW_1_Stereoscope_20-212_67-68,not measured,NA,NA,,0.305,0.024,6,Stereoscope,Y,NA,NA
25806,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_69,Sphere,White,A_CW_1_Stereoscope_20-212_69,not measured,NA,NA,,0.45,0.433,6,Stereoscope,Y,NA,NA
25807,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_70,Fiber,Black,A_CW_1_Stereoscope_20-212_70-72,not measured,NA,NA,,1.23,0.035,6,Stereoscope,Y,NA,NA
25808,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_71,Fiber,Black,A_CW_1_Stereoscope_20-212_70-72,not measured,NA,NA,,2.28,0.024,6,Stereoscope,Y,NA,NA
25809,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_72,Fiber,Black,A_CW_1_Stereoscope_20-212_70-72,not measured,NA,NA,,3.34,0.022,6,Stereoscope,Y,NA,NA
25810,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_73,Fiber,Black,A_CW_1_Stereoscope_20-212_73,not measured,NA,NA,,3.56,0.016,6,Stereoscope,Y,NA,NA
25811,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_74,Fiber,Black,A_CW_1_Stereoscope_20-212_74,not measured,NA,NA,,2.82,0.02,6,Stereoscope,Y,NA,NA
25812,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_75,Fiber,Blue,A_CW_1_Stereoscope_20-212_75,not measured,NA,NA,,3.12,0.022,6,Stereoscope,Y,NA,NA
25813,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_76,Fiber,Orange,A_CW_1_Stereoscope_20-212_76,not measured,NA,NA,,1.82,0.016,6,Stereoscope,Y,NA,NA
25814,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_77,Fiber,Blue,A_CW_1_Stereoscope_20-212_77-78,not measured,NA,NA,,1.901,0.017,6,Stereoscope,Y,NA,NA
25815,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_78,Fiber,Green,A_CW_1_Stereoscope_20-212_77-78,not measured,NA,NA,,0.346,0.008,6,Stereoscope,Y,NA,NA
25816,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_79,Fiber,Multicolor,A_CW_1_Stereoscope_20-212_79,not measured,NA,NA,White and green,1.22,0.023,6,Stereoscope,Y,NA,NA
25817,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_80,Fiber,Clear,A_CW_1_Stereoscope_20-212_80,not measured,NA,NA,,3.42,0.019,6,Stereoscope,Y,NA,NA
25818,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_81,Sphere,Clear,A_CW_1_Stereoscope_20-212_81,not measured,NA,NA,,0.078,0.079,6,Stereoscope,Y,NA,NA
25819,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_82,Sphere,White,A_CW_1_Stereoscope_20-212_82-87,not measured,NA,NA,,0.417,0.425,6,Stereoscope,Y,NA,NA
25820,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_83,Sphere,White,A_CW_1_Stereoscope_20-212_82-87,not measured,NA,NA,,0.454,0.442,6,Stereoscope,Y,NA,NA
25821,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_84,Sphere,White,A_CW_1_Stereoscope_20-212_82-87,not measured,NA,NA,,0.483,0.496,6,Stereoscope,Y,NA,NA
25822,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_85,Sphere,White,A_CW_1_Stereoscope_20-212_82-87,not measured,NA,NA,,0.413,0.425,6,Stereoscope,Y,NA,NA
25823,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_86,Sphere,White,A_CW_1_Stereoscope_20-212_82-87,not measured,NA,NA,,0.463,0.471,6,Stereoscope,Y,NA,NA
25824,A,A_CW_1,CW,20-212 um,A_CW_1_Stereoscope_20-212_87,Sphere,White,A_CW_1_Stereoscope_20-212_82-87,not measured,NA,NA,,0.445,0.434,6,Stereoscope,Y,NA,NA
25825,A,A_CW_1,CW,212-500 um,A_CW_1_FTIR_212-500_1,Fragment,White,A_CW_1_FTIR_212-500_1,PET; low match 39%,PET,Y,may be just another form of scum (but thicker),0.36,0.32,10,FTIR,Y,NA,FTIR
25826,A,A_CW_1,CW,212-500 um,A_CW_1_FTIR_212-500_2,Fragment,White,A_CW_1_FTIR_212-500_2,PS,PS,Y,,0.35,0.27,10,FTIR,Y,NA,FTIR
25827,A,A_CW_1,CW,212-500 um,A_CW_1_FTIR_212-500_3,Fragment,White,A_CW_1_FTIR_212-500_3,polyester; low match 50%,Polyester,Y,PET @ 49%,0.35,0.29,10,FTIR,Y,NA,FTIR
25828,A,A_CW_1,CW,212-500 um,A_CW_1_FTIR_212-500_4,Fragment,White,A_CW_1_FTIR_212-500_4,PS,PS,Y,,0.3,0.25,10,FTIR,Y,NA,FTIR
25829,A,A_CW_1,CW,212-500 um,A_CW_1_FTIR_212-500_5,Fragment,White,A_CW_1_FTIR_212-500_5,polyester,Polyester,Y,PET @ 57%,0.34,0.31,10,FTIR,Y,NA,FTIR
25830,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_1,Sphere,White,A_CW_1_Stereoscope_212-500_1,not measured,NA,NA,,0.52,0.49,10,Stereoscope,Y,NA,NA
25831,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_2,Sphere,White,A_CW_1_Stereoscope_212-500_2,not measured,NA,NA,,0.57,0.46,10,Stereoscope,Y,NA,NA
25832,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_3,Sphere,White,A_CW_1_Stereoscope_212-500_3,not measured,NA,NA,,0.49,0.45,10,Stereoscope,Y,NA,NA
25833,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_4,Sphere,White,A_CW_1_Stereoscope_212-500_4,not measured,NA,NA,,0.54,0.46,10,Stereoscope,Y,NA,NA
25834,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_5,Sphere,White,A_CW_1_Stereoscope_212-500_5,not measured,NA,NA,,0.6,0.46,10,Stereoscope,Y,NA,NA
25835,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_6,Sphere,White,A_CW_1_Stereoscope_212-500_6,not measured,NA,NA,,0.54,0.46,10,Stereoscope,Y,NA,NA
25836,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_7,Sphere,White,A_CW_1_Stereoscope_212-500_7,not measured,NA,NA,,0.57,0.55,10,Stereoscope,Y,NA,NA
25837,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_8,Sphere,White,A_CW_1_Stereoscope_212-500_8,not measured,NA,NA,,0.43,0.41,10,Stereoscope,Y,NA,NA
25838,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_9,Sphere,White,A_CW_1_Stereoscope_212-500_9,not measured,NA,NA,,0.4,0.36,10,Stereoscope,Y,NA,NA
25839,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_10,Sphere,White,A_CW_1_Stereoscope_212-500_10,not measured,NA,NA,,0.61,0.49,10,Stereoscope,Y,NA,NA
25840,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_11,Sphere,White,A_CW_1_Stereoscope_212-500_11,not measured,NA,NA,,0.55,0.41,10,Stereoscope,Y,NA,NA
25841,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_12,Sphere,White,A_CW_1_Stereoscope_212-500_12,not measured,NA,NA,,0.4,0.37,10,Stereoscope,Y,NA,NA
25842,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_13,Sphere,White,A_CW_1_Stereoscope_212-500_13,not measured,NA,NA,,0.54,0.49,10,Stereoscope,Y,NA,NA
25843,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_14,Sphere,White,A_CW_1_Stereoscope_212-500_14,not measured,NA,NA,,0.5,0.47,10,Stereoscope,Y,NA,NA
25844,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_15,Sphere,White,A_CW_1_Stereoscope_212-500_15,not measured,NA,NA,,0.52,0.47,10,Stereoscope,Y,NA,NA
25845,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_16,Sphere,White,A_CW_1_Stereoscope_212-500_16,not measured,NA,NA,,0.54,0.54,10,Stereoscope,Y,NA,NA
25846,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_17,Sphere,Green,A_CW_1_Stereoscope_212-500_17,not measured,NA,NA,,2.27,2.21,10,Stereoscope,Y,NA,NA
25847,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_18,Sphere,Green,A_CW_1_Stereoscope_212-500_18,not measured,NA,NA,,2.39,1.98,10,Stereoscope,Y,NA,NA
25848,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_19,Foam,Multicolor,A_CW_1_Stereoscope_212-500_19,not measured,NA,NA,source of other brown films?,6.27,5.5,10,Stereoscope,Y,NA,NA
25849,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_20,Foam,Multicolor,A_CW_1_Stereoscope_212-500_20,not measured,NA,NA,"previously would have called these ""brown films, possibly biological""; may be the source of the ""brown films"" I have been previously seeing elsewhere; this one broke while putting on tape",1.88,1.03,10,Stereoscope,Y,NA,NA
25850,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_21,Foam,Multicolor,A_CW_1_Stereoscope_212-500_21,not measured,NA,NA,"previously would have called these ""brown films, possibly biological""",0.63,0.53,10,Stereoscope,Y,NA,NA
25851,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_22,Foam,Multicolor,A_CW_1_Stereoscope_212-500_22,not measured,NA,NA,"previously would have called these ""brown films, possibly biological""",0.77,0.69,10,Stereoscope,Y,NA,NA
25852,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_23,Foam,Multicolor,A_CW_1_Stereoscope_212-500_23,not measured,NA,NA,"previously would have called these ""brown films, possibly biological""",1.55,1.22,10,Stereoscope,Y,NA,NA
25853,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_24,Foam,Multicolor,A_CW_1_Stereoscope_212-500_24,not measured,NA,NA,"previously would have called these ""brown films, possibly biological""",0.75,0.71,10,Stereoscope,Y,NA,NA
25854,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_25,Foam,Multicolor,A_CW_1_Stereoscope_212-500_25,not measured,NA,NA,"previously would have called these ""brown films, possibly biological""",1.03,0.94,10,Stereoscope,Y,NA,NA
25855,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_26,Fiber,Blue,A_CW_1_Stereoscope_212-500_26,not measured,NA,NA,,4.51,0.54,10,Stereoscope,Y,NA,NA
25856,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_27,Fiber,Blue,A_CW_1_Stereoscope_212-500_27,not measured,NA,NA,,3.19,0.4,10,Stereoscope,Y,NA,NA
25857,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_28,Fiber,Blue,A_CW_1_Stereoscope_212-500_28,not measured,NA,NA,,2.15,0.24,10,Stereoscope,Y,NA,NA
25858,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_29,Fiber,Blue,A_CW_1_Stereoscope_212-500_29,not measured,NA,NA,,1.78,0.09,10,Stereoscope,Y,NA,NA
25859,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_30,Fiber,Blue,A_CW_1_Stereoscope_212-500_30,not measured,NA,NA,,3.49,0.11,10,Stereoscope,Y,NA,NA
25860,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_31,Fiber,Blue,A_CW_1_Stereoscope_212-500_31,not measured,NA,NA,,1.97,0.2,10,Stereoscope,Y,NA,NA
25861,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_32,Fiber,Blue,A_CW_1_Stereoscope_212-500_32,not measured,NA,NA,,7.26,0.25,10,Stereoscope,Y,NA,NA
25862,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_33,Fiber,Blue,A_CW_1_Stereoscope_212-500_33,not measured,NA,NA,,1.87,0.42,10,Stereoscope,Y,NA,NA
25863,A,A_CW_1,CW,212-500 um,A_CW_1_Stereoscope_212-500_34,Fiber,Blue,A_CW_1_Stereoscope_212-500_34,not measured,NA,NA,,8.44,0.23,10,Stereoscope,Y,NA,NA
