state,region_us_census,rank,costume,candy,pounds_candy_sold
Missouri,Midwest,third,Witch,Almond Joy,30657
Mississippi,South,first,Mouse,Snickers,96352
Mississippi,South,second,Clown,3 Musketeers,93227
Mississippi,South,third,Harley Quinn,Butterfinger,68683
Montana,West,first,Dinosaur,Dubble Bubble Gum,28736
Montana,West,second,Harley Quinn,M&M's,18873
Montana,West,third,Zombie,Twix,14757
North Carolina,South,first,Wonder Woman,Reese's Cups,89454
North Carolina,South,second,Harley Quinn,M&M's,86337
North Carolina,South,third,Unicorn,Snickers,72464
North Dakota,Midwest,first,Unicorn,Candy Corn,61837
North Dakota,Midwest,second,Chicken,Hot Tamales,56745
North Dakota,Midwest,third,Batman,Jolly Ranchers,49883
Nebraska,Midwest,first,Wonder Woman,Salt Water Taffy,96362
Nebraska,Midwest,second,Clown,Sour Patch Kids,82938
Nebraska,Midwest,third,Harley Quinn,Twix,37829
New Hampshire,Northeast,first,Rabbit,Starburst,69692
New Hampshire,Northeast,second,Harley Quinn,M&M's,59822
New Hampshire,Northeast,third,Clown,Snickers,35775
New Jersey,Northeast,first,Wonder Woman,Tootsie Pops,140763
New Jersey,Northeast,second,Harley Quinn,Skittles,136782
New Jersey,Northeast,third,Unicorn,M&M's,127894
New Mexico,West,first,Harley Quinn,Candy Corn,78623
New Mexico,West,second,Clown,Jolly Ranchers,73425
New Mexico,West,third,Unicorn,Milky Way,56772
Nevada,West,first,Wonder Woman,Candy Corn,311876
Nevada,West,second,Clown,Hershey Kisses,223826
Nevada,West,third,Harley Quinn,Tootsie Pops,190765
New York,Northeast,first,Wonder Woman,Hot Tamales,194762
New York,Northeast,second,Clown,Sour Patch Kids,134828
New York,Northeast,third,Harley Quinn,Candy Corn,75263
Ohio,Midwest,first,Harley Quinn,M&M's,166398
Ohio,Midwest,second,Wonder Woman,Starburst,145223
Ohio,Midwest,third,Clown,Blow Pops,112844
Oklahoma,South,first,Wonder Woman,Dubble Bubble Gum,18773
Oklahoma,South,second,Harley Quinn,Snickers,13756
Oklahoma,South,third,Clown,Skittles,11788
Oregon,West,first,Unicorn,Reese's Cups,90213
Oregon,West,second,Witch,M&M's,72937
Oregon,West,third,Wonder Woman,Candy Corn,56986
Pennsylvania,Northeast,first,Harley Quinn,Hershey's Mini Bars,274927
Pennsylvania,Northeast,second,Wonder Woman,Skittles,246722
Pennsylvania,Northeast,third,Clown,M&M's,178992
Rhode Island,Northeast,first,Witch,Twix,17543
Rhode Island,Northeast,second,Wonder Woman,M&M's,15776
Rhode Island,Northeast,third,Chicken,Candy Corn,12788
South Carolina,South,first,Harley Quinn,Skittles,123847
South Carolina,South,second,Wonder Woman,Candy Corn,112987
South Carolina,South,third,Clown,Butterfinger,57723
South Dakota,Midwest,first,Witch,Starburst,25748
South Dakota,Midwest,second,Clown,Jolly Ranchers,18944
South Dakota,Midwest,third,Scary Clown,Candy Corn,12846
Tennessee,South,first,Wonder Woman,Tootsie Pops,54882
Tennessee,South,second,Harley Quinn,Skittles,47621
Tennessee,South,third,Clown,Salt Water Taffy,37648
Texas,South,first,Wonder Woman,Reese's Cups,1022847
Texas,South,second,Harley Quinn,Starburst,987873
Texas,South,third,Clown,Sour Patch Kids,612942
Utah,West,first,Witch,Jolly Ranchers,412745
Utah,West,second,Wonder Woman,Tootsie Pops,267545
Utah,West,third,Pirate,Candy Corn,221894
Virginia,South,first,Wonder Woman,Hot Tamales,162987
Virginia,South,second,Harley Quinn,Snickers,146282
Virginia,South,third,Rabbit,Tootsie Pops,78298
Vermont,Northeast,first,Catwoman,M&M's,33947
Vermont,Northeast,second,Dinosaur,Skittles,23463
Vermont,Northeast,third,The Wizard of Oz,Milky Way,18722
Washington,West,first,Wonder Woman,Salt Water Taffy,225463
Washington,West,second,Dinosaur,Tootsie Pops,192217
Washington,West,third,Harley Quinn,Skittles,89847
Wisconsin,Midwest,first,Zombie,Starburst,109826
Wisconsin,Midwest,second,Pirate,Butterfinger,97635
Wisconsin,Midwest,third,Dinosaur,Hot Tamales,60253
West Virginia,South,first,Clown,Blow Pops,43728
West Virginia,South,second,Harley Quinn,Milky Way,35755
West Virginia,South,third,Doll,Hershey's Mini Bars,28644
Wyoming,West,first,Joker,Salt Water Taffy,25864
Wyoming,West,second,Starbucks,Reese's Cups,24790
Wyoming,West,third,Clown,Dubble Bubble Gum,18776
